ngram,year,frequency,shift,side
trisomy 21,1941,0.0,1960s_down,new
trisomy 21,1942,6.625168191831676e-10,1960s_down,new
trisomy 21,1943,0.0,1960s_down,new
trisomy 21,1944,1.835582519316148e-10,1960s_down,new
trisomy 21,1945,4.976493106489954e-10,1960s_down,new
trisomy 21,1946,0.0,1960s_down,new
trisomy 21,1947,1.7689890108307793e-09,1960s_down,new
trisomy 21,1948,2.4978780155393565e-10,1960s_down,new
trisomy 21,1949,1.7622030501485142e-09,1960s_down,new
trisomy 21,1950,4.958819688205551e-09,1960s_down,new
trisomy 21,1951,0.0,1960s_down,new
trisomy 21,1952,0.0,1960s_down,new
trisomy 21,1953,6.75487936419028e-10,1960s_down,new
trisomy 21,1954,2.2030691160246363e-10,1960s_down,new
trisomy 21,1955,0.0,1960s_down,new
trisomy 21,1956,0.0,1960s_down,new
trisomy 21,1957,9.66200869312317e-11,1960s_down,new
trisomy 21,1958,4.824319554952439e-10,1960s_down,new
trisomy 21,1959,3.58816976131493e-10,1960s_down,new
trisomy 21,1960,1.1880144090703482e-09,1960s_down,new
trisomy 21,1961,3.4872433829491456e-09,1960s_down,new
trisomy 21,1962,8.802631401572114e-09,1960s_down,new
trisomy 21,1963,1.776710412126903e-08,1960s_down,new
trisomy 21,1964,4.4291991185829716e-08,1960s_down,new
trisomy 21,1965,2.7923944490026997e-08,1960s_down,new
trisomy 21,1966,3.536460924102869e-08,1960s_down,new
trisomy 21,1967,4.201019898619762e-08,1960s_down,new
trisomy 21,1968,3.951839189220152e-08,1960s_down,new
trisomy 21,1969,6.674275143669917e-08,1960s_down,new
trisomy 21,1970,4.071727854881857e-08,1960s_down,new
trisomy 21,1971,5.82534488424713e-08,1960s_down,new
trisomy 21,1972,4.768030481550056e-08,1960s_down,new
trisomy 21,1973,6.817752074006478e-08,1960s_down,new
trisomy 21,1974,8.440511645169124e-08,1960s_down,new
trisomy 21,1975,1.1219580575705379e-07,1960s_down,new
trisomy 21,1976,8.92682390229993e-08,1960s_down,new
trisomy 21,1977,1.2581577424342072e-07,1960s_down,new
trisomy 21,1978,1.199917000205275e-07,1960s_down,new
trisomy 21,1979,8.657800099065582e-08,1960s_down,new
trisomy 21,1980,9.664227562655725e-08,1960s_down,new
trisomy 21,1981,1.4984869078915608e-07,1960s_down,new
trisomy 21,1982,1.6206864528189868e-07,1960s_down,new
trisomy 21,1983,1.2758550382852007e-07,1960s_down,new
trisomy 21,1984,1.235017070277955e-07,1960s_down,new
trisomy 21,1985,1.4920701452147966e-07,1960s_down,new
trisomy 21,1986,1.3551247945997602e-07,1960s_down,new
trisomy 21,1987,1.4090709743452834e-07,1960s_down,new
trisomy 21,1988,1.2714078750919455e-07,1960s_down,new
trisomy 21,1989,1.225688028849703e-07,1960s_down,new
trisomy 21,1990,1.420264417184569e-07,1960s_down,new
trisomy 21,1991,1.283243566962966e-07,1960s_down,new
trisomy 21,1992,1.2034236707147983e-07,1960s_down,new
trisomy 21,1993,1.1849586700751757e-07,1960s_down,new
trisomy 21,1994,1.071608721758821e-07,1960s_down,new
trisomy 21,1995,1.195924144159477e-07,1960s_down,new
trisomy 21,1996,1.0888465590275231e-07,1960s_down,new
trisomy 21,1997,1.1703038871324623e-07,1960s_down,new
trisomy 21,1998,1.3296161827103248e-07,1960s_down,new
trisomy 21,1999,1.2516495578873688e-07,1960s_down,new
trisomy 21,2000,1.114475660091152e-07,1960s_down,new
trisomy 21,2001,1.2687116857090786e-07,1960s_down,new
trisomy 21,2002,1.0426015983888703e-07,1960s_down,new
trisomy 21,2003,1.400797058348502e-07,1960s_down,new
trisomy 21,2004,1.3413291422015305e-07,1960s_down,new
trisomy 21,2005,1.6029144778162419e-07,1960s_down,new
trisomy 21,2006,1.6318258688752252e-07,1960s_down,new
trisomy 21,2007,1.770082085350566e-07,1960s_down,new
trisomy 21,2008,1.7183120587516143e-07,1960s_down,new
trisomy 21,2009,1.5179478862759055e-07,1960s_down,new
trisomy 21,2010,1.6636805066916338e-07,1960s_down,new
trisomy 21,2011,2.597860820907627e-07,1960s_down,new
trisomy 21,2012,2.4851678809278965e-07,1960s_down,new
trisomy 21,2013,2.0210766704664707e-07,1960s_down,new
trisomy 21,2014,1.792405968092936e-07,1960s_down,new
trisomy 21,2015,2.5020578114931524e-07,1960s_down,new
trisomy 21,2016,1.8523073408438506e-07,1960s_down,new
trisomy 21,2017,1.8020934411389078e-07,1960s_down,new
trisomy 21,2018,1.9935714545837868e-07,1960s_down,new
trisomy 21,2019,1.545414407555512e-07,1960s_down,new
shell shock,1900,7.412005731399773e-10,1980s_ptsd,old
shell shock,1901,1.0792023663608319e-09,1980s_ptsd,old
shell shock,1902,3.6319969254350326e-10,1980s_ptsd,old
shell shock,1903,6.007110087136169e-10,1980s_ptsd,old
shell shock,1904,1.1394522131391582e-10,1980s_ptsd,old
shell shock,1905,8.011734192736597e-10,1980s_ptsd,old
shell shock,1906,1.059026130678653e-10,1980s_ptsd,old
shell shock,1907,8.429299133694279e-10,1980s_ptsd,old
