label,term,year,n_records
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1965,2
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1966,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1967,2
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1968,5
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1969,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1970,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1971,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1972,0
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1973,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1974,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1975,4
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1976,2
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1977,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1978,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1979,0
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1980,0
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1981,2
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1982,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1983,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1984,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1985,0
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1986,2
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1987,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1988,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1989,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1990,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1991,2
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1992,0
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1993,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1994,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1995,2
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1996,0
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1997,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1998,0
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",1999,0
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2000,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2001,0
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2002,2
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2003,0
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2004,4
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2005,3
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2006,0
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2007,0
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2008,0
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2009,0
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2010,2
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2011,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2012,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2013,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2014,2
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2015,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2016,3
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2017,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2018,0
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2019,1
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2020,0
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2021,0
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2022,2
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2023,0
T2_feeble_minded,"""feeble-minded"" OR ""feeble minded"" OR feeblemindedness OR ""feeble-mindedness""",2024,3
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1950,128
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1951,199
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1952,184
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1953,214
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1954,239
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1955,215
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1956,247
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1957,287
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1958,281
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1959,277
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1960,254
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1961,279
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1962,313
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1963,183
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1964,26
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1965,42
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1966,27
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1967,27
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1968,34
T2_mental_defective,"""mental defective"" OR ""mental defectives"" OR ""mental deficiency""",1969,17
